symbol,market_type,side,entry_timestamp,exit_timestamp,quantity,entry_price,exit_price,entry_fees,exit_fees,pnl,duration_seconds
1000SHIBUSDT,SPOT,LONG,2022-02-08T04:00:00+00:00,2022-02-15T04:00:00+00:00,2930.574685695865,0.034123,0.030519,0.1,0.08943820883275211,-10.751229376080646,604800.0
1000SHIBUSDT,FUTURE,SHORT,2022-02-08T04:00:00+00:00,2022-02-15T04:00:00+00:00,2930.574685695865,0.034123,0.030519,0.02,0.01788764176655042,10.523903525481344,604800.0
1000SHIBUSDT,SPOT,SHORT,2022-02-15T04:00:00+00:00,2022-02-17T10:00:00+00:00,346.0726487515285,0.030519,0.031266,0.010561791167247897,0.01082030743586529,-0.2798983672205053,194400.0
1000SHIBUSDT,FUTURE,LONG,2022-02-15T04:00:00+00:00,2022-02-17T10:00:00+00:00,346.0726487515285,0.030519,0.031266,0.002112358233449581,0.002164061487173058,0.25423984889676954,194400.0
AAVEUSDT,SPOT,LONG,2022-02-08T04:00:00+00:00,2022-02-17T10:00:00+00:00,0.5359056806002144,186.6,165.24,0.1,0.08855305466237944,-11.63549839228295,799200.0
AAVEUSDT,FUTURE,SHORT,2022-02-08T04:00:00+00:00,2022-02-17T10:00:00+00:00,0.5359056806002144,186.6,165.24,0.02,0.017710610932475886,11.409234726688096,799200.0
1000SHIBUSDT,SPOT,LONG,2022-02-17T10:00:00+00:00,2022-02-18T10:00:00+00:00,2852.2897896799946,0.031266,0.029465,0.08917969256413472,0.08404271865292105,-5.310196322430728,86400.0
1000SHIBUSDT,FUTURE,SHORT,2022-02-17T10:00:00+00:00,2022-02-18T10:00:00+00:00,2852.2897896799946,0.031266,0.029465,0.017835938512826943,0.01680854373058421,5.10232942897026,86400.0
AAVEUSDT,SPOT,SHORT,2022-02-17T10:00:00+00:00,2022-02-18T10:00:00+00:00,0.06927466314222086,165.24,153.39,0.01144694533762057,0.010626040579385258,0.7988317723183129,86400.0
AAVEUSDT,FUTURE,LONG,2022-02-17T10:00:00+00:00,2022-02-18T10:00:00+00:00,0.06927466314222086,165.24,153.39,0.002289389067524114,0.0021252081158770514,-0.8253193554187198,86400.0
1000SHIBUSDT,SPOT,SHORT,2022-02-18T10:00:00+00:00,2022-02-18T22:00:00+00:00,541.5673289353117,0.029465,0.028171,0.015957281347078953,0.015256493223436668,0.6695743490717777,43200.0
1000SHIBUSDT,FUTURE,LONG,2022-02-18T10:00:00+00:00,2022-02-18T22:00:00+00:00,541.5673289353117,0.029465,0.028171,0.0031914562694157905,0.0030512986446873335,-0.7070308785563965,43200.0
ADAUSDT,SPOT,LONG,2022-02-15T04:00:00+00:00,2022-02-18T22:00:00+00:00,92.75577404693442,1.0781,0.997,0.1,0.09247750672479363,-7.71497078193118,324000.0
ADAUSDT,FUTURE,SHORT,2022-02-15T04:00:00+00:00,2022-02-18T22:00:00+00:00,92.75577404693442,1.0781,0.997,0.02,0.018495501344958726,7.483997773861429,324000.0
1000SHIBUSDT,SPOT,LONG,2022-02-18T22:00:00+00:00,2022-02-19T10:00:00+00:00,3008.1824137078315,0.028171,0.028287,0.08474350677656334,0.08509245593655343,0.1791131972769858,43200.0
1000SHIBUSDT,FUTURE,SHORT,2022-02-18T22:00:00+00:00,2022-02-19T10:00:00+00:00,3008.1824137078315,0.028171,0.028287,0.016948701355312668,0.017018491187310684,-0.38291635253272593,43200.0
ADAUSDT,SPOT,SHORT,2022-02-18T22:00:00+00:00,2022-02-19T10:00:00+00:00,7.545128661189949,0.997,0.9987,0.007522493275206377,0.007535319993930404,-0.027884531993159954,43200.0
ADAUSDT,FUTURE,LONG,2022-02-18T22:00:00+00:00,2022-02-19T10:00:00+00:00,7.545128661189949,0.997,0.9987,0.0015044986550412746,0.0015070639987860806,0.00981515607019582,43200.0
1000SHIBUSDT,SPOT,SHORT,2022-02-19T10:00:00+00:00,2022-02-19T22:00:00+00:00,527.0104310618508,0.028287,0.027158,0.014907544063446576,0.014312549286777746,0.5657746833186041,43200.0
1000SHIBUSDT,SPOT,SHORT,2022-02-19T11:00:00+00:00,2022-02-19T22:00:00+00:00,3155.145839650278,0.02826,0.027158,0.08916442142851687,0.08568745071322226,3.3021188431528636,39600.0
1000SHIBUSDT,FUTURE,LONG,2022-02-19T10:00:00+00:00,2022-02-19T22:00:00+00:00,527.0104310618508,0.028287,0.027158,0.002981508812689316,0.002862509857355549,-0.6008387953388734,43200.0
1000SHIBUSDT,FUTURE,LONG,2022-02-19T11:00:00+00:00,2022-02-19T22:00:00+00:00,3155.145839650278,0.02826,0.027158,0.01783288428570337,0.01713749014264445,-3.5119410897229506,39600.0
ADAUSDT,SPOT,LONG,2022-02-19T10:00:00+00:00,2022-02-19T22:00:00+00:00,92.58504055879602,0.9987,0.9869,0.0924646800060696,0.0913721765274758,-1.2763403351273415,43200.0
ADAUSDT,FUTURE,SHORT,2022-02-19T10:00:00+00:00,2022-02-19T22:00:00+00:00,92.58504055879602,0.9987,0.9869,0.01849293600121392,0.01827443530549516,1.0557361072870872,43200.0
ADAUSDT,SPOT,SHORT,2022-02-19T22:00:00+00:00,2022-02-20T06:00:00+00:00,8.742348234394782,0.9869,0.9487,0.008627823472524207,0.008293865769970332,0.31703601331138626,28800.0
ADAUSDT,FUTURE,LONG,2022-02-19T22:00:00+00:00,2022-02-20T06:00:00+00:00,8.742348234394782,0.9869,0.9487,0.0017255646945048414,0.0016587731539940663,-0.3373420404023797,28800.0
1000SHIBUSDT,SPOT,SHORT,2022-02-19T11:00:00+00:00,2022-02-20T10:00:00+00:00,383.42457790103117,0.02826,0.025298,0.010835578571483137,0.009699874971740288,1.1151681461996308,82800.0
1000SHIBUSDT,SPOT,SHORT,2022-02-20T06:00:00+00:00,2022-02-20T10:00:00+00:00,3569.457072822346,0.025522,0.025298,0.09109968341257192,0.09030012502825972,0.6181585758713686,14400.0
1000SHIBUSDT,FUTURE,LONG,2022-02-19T11:00:00+00:00,2022-02-20T10:00:00+00:00,383.42457790103117,0.02826,0.025298,0.0021671157142966295,0.0019399749943480574,-1.1398106904514989,82800.0
1000SHIBUSDT,FUTURE,LONG,2022-02-20T06:00:00+00:00,2022-02-20T10:00:00+00:00,3569.457072822346,0.025522,0.025298,0.018219936682514384,0.018060025005651945,-0.8358383460003665,14400.0
ADAUSDT,SPOT,LONG,2022-02-20T06:00:00+00:00,2022-02-20T10:00:00+00:00,96.6650513650571,0.9487,0.9369,0.09170613423002967,0.090565486623922,-1.3229192269616286,14400.0
ADAUSDT,FUTURE,SHORT,2022-02-20T06:00:00+00:00,2022-02-20T10:00:00+00:00,96.6650513650571,0.9487,0.9369,0.018341226846005934,0.0181130973247844,1.1041932819368865,14400.0
ADAUSDT,SPOT,SHORT,2022-02-20T10:00:00+00:00,2022-02-26T10:00:00+00:00,10.069925686922844,0.9369,0.8893,0.009434513376078008,0.008955184913380486,0.46093876440806864,518400.0
ADAUSDT,FUTURE,LONG,2022-02-20T10:00:00+00:00,2022-02-26T10:00:00+00:00,10.069925686922844,0.9369,0.8893,0.0018869026752156015,0.001791036982676097,-0.48300640235541875,518400.0
ALICEUSDT,SPOT,LONG,2022-02-08T04:00:00+00:00,2022-02-26T10:00:00+00:00,10.608953957139827,9.426,7.184,0.1,0.07621472522809253,-23.961489497135585,1576800.0
ALICEUSDT,FUTURE,SHORT,2022-02-08T04:00:00+00:00,2022-02-26T10:00:00+00:00,10.608953957139827,9.426,7.184,0.02,0.015242945045618505,23.750031826861875,1576800.0
ADAUSDT,SPOT,LONG,2022-02-26T10:00:00+00:00,2022-02-26T18:00:00+00:00,102.37806711640562,0.8893,0.8994,0.09104481508661952,0.09207883356449521,0.8508948292245817,28800.0
ADAUSDT,FUTURE,SHORT,2022-02-26T10:00:00+00:00,2022-02-26T18:00:00+00:00,102.37806711640562,0.8893,0.8994,0.018208963017323904,0.018415766712899042,-1.0706432076059194,28800.0
ALICEUSDT,SPOT,SHORT,2022-02-26T10:00:00+00:00,2022-02-26T18:00:00+00:00,3.3108678691407967,7.184,7.268,0.023785274771907478,0.024063387672915312,-0.32596156345264854,28800.0
ALICEUSDT,FUTURE,LONG,2022-02-26T10:00:00+00:00,2022-02-26T18:00:00+00:00,3.3108678691407967,7.184,7.268,0.004757054954381496,0.004812677534583062,0.2685431685188611,28800.0
ADAUSDT,SPOT,SHORT,2022-02-26T18:00:00+00:00,2022-02-27T02:00:00+00:00,8.80716748443939,0.8994,0.8516,0.007921166435504792,0.007500183829748585,0.40556125549094907,28800.0
ADAUSDT,SPOT,SHORT,2022-02-26T19:00:00+00:00,2022-02-27T02:00:00+00:00,108.61885412194859,0.8953,0.8516,0.09724646009538057,0.09249981617025142,4.556897648863517,25200.0
ADAUSDT,FUTURE,LONG,2022-02-26T18:00:00+00:00,2022-02-27T02:00:00+00:00,8.80716748443939,0.8994,0.8516,0.0015842332871009585,0.0015000367659497168,-0.4240668758092531,28800.0
ADAUSDT,FUTURE,LONG,2022-02-26T19:00:00+00:00,2022-02-27T02:00:00+00:00,108.61885412194859,0.8953,0.8516,0.019449292019076116,0.018499963234050284,-4.784593180382275,25200.0
ALICEUSDT,SPOT,LONG,2022-02-26T18:00:00+00:00,2022-02-27T02:00:00+00:00,10.448075444012753,7.268,6.723,0.0759366123270847,0.07024241121009774,-5.840380140524132,28800.0
