order_id,signal_id,symbol,market_type,action,order_type,side,quantity,limit_price,status,created_at,eligible_at,cancel_after,filled_quantity,fill_price,fee_paid
funding-close_long-1000SHIBUSDT-1645174800,funding-close_long-1000SHIBUSDT-1645174800,1000SHIBUSDT,SPOT,CLOSE_LONG,LIMIT,SELL,3393.8571186153063,0.029465,FILLED,2022-02-18T09:00:00+00:00,2022-02-18T09:00:00+00:00,,3393.8571186153063,0.029465,0.1
funding-close_short-1000SHIBUSDT-1645174800,funding-close_short-1000SHIBUSDT-1645174800,1000SHIBUSDT,FUTURE,CLOSE_SHORT,LIMIT,BUY,3393.8571186153063,0.029465,FILLED,2022-02-18T09:00:00+00:00,2022-02-18T09:00:00+00:00,,3393.8571186153063,0.029465,0.02
funding-open_long-AAVEUSDT-1645174800,funding-open_long-AAVEUSDT-1645174800,AAVEUSDT,SPOT,OPEN_LONG,LIMIT,BUY,0.6519329812895235,153.39,FILLED,2022-02-18T09:00:00+00:00,2022-02-18T09:00:00+00:00,,0.6519329812895235,153.39,0.1
funding-open_short-AAVEUSDT-1645174800,funding-open_short-AAVEUSDT-1645174800,AAVEUSDT,FUTURE,OPEN_SHORT,LIMIT,SELL,0.6519329812895235,153.39,FILLED,2022-02-18T09:00:00+00:00,2022-02-18T09:00:00+00:00,,0.6519329812895235,153.39,0.02
funding-open_long-1000SHIBUSDT-1645218000,funding-open_long-1000SHIBUSDT-1645218000,1000SHIBUSDT,SPOT,OPEN_LONG,LIMIT,BUY,3549.7497426431432,0.028171,FILLED,2022-02-18T21:00:00+00:00,2022-02-18T21:00:00+00:00,,3549.7497426431432,0.028171,0.1
funding-open_short-1000SHIBUSDT-1645218000,funding-open_short-1000SHIBUSDT-1645218000,1000SHIBUSDT,FUTURE,OPEN_SHORT,LIMIT,SELL,3549.7497426431432,0.028171,FILLED,2022-02-18T21:00:00+00:00,2022-02-18T21:00:00+00:00,,3549.7497426431432,0.028171,0.02
funding-close_long-ADAUSDT-1645218000,funding-close_long-ADAUSDT-1645218000,ADAUSDT,SPOT,CLOSE_LONG,LIMIT,SELL,100.30090270812437,0.997,FILLED,2022-02-18T21:00:00+00:00,2022-02-18T21:00:00+00:00,,100.30090270812437,0.997,0.1
funding-close_short-ADAUSDT-1645218000,funding-close_short-ADAUSDT-1645218000,ADAUSDT,FUTURE,CLOSE_SHORT,LIMIT,BUY,100.30090270812437,0.997,FILLED,2022-02-18T21:00:00+00:00,2022-02-18T21:00:00+00:00,,100.30090270812437,0.997,0.02
funding-close_long-1000SHIBUSDT-1645261200,funding-close_long-1000SHIBUSDT-1645261200,1000SHIBUSDT,SPOT,CLOSE_LONG,LIMIT,SELL,3535.1928447696823,0.028287,FILLED,2022-02-19T09:00:00+00:00,2022-02-19T09:00:00+00:00,,3535.1928447696823,0.028287,0.1
funding-close_short-1000SHIBUSDT-1645261200,funding-close_short-1000SHIBUSDT-1645261200,1000SHIBUSDT,FUTURE,CLOSE_SHORT,LIMIT,BUY,3535.1928447696823,0.028287,FILLED,2022-02-19T09:00:00+00:00,2022-02-19T09:00:00+00:00,,3535.1928447696823,0.028287,0.02
funding-open_long-ADAUSDT-1645261200,funding-open_long-ADAUSDT-1645261200,ADAUSDT,SPOT,OPEN_LONG,LIMIT,BUY,100.13016921998597,0.9987,FILLED,2022-02-19T09:00:00+00:00,2022-02-19T09:00:00+00:00,,100.13016921998597,0.9987,0.1
funding-open_short-ADAUSDT-1645261200,funding-open_short-ADAUSDT-1645261200,ADAUSDT,FUTURE,OPEN_SHORT,LIMIT,SELL,100.13016921998597,0.9987,FILLED,2022-02-19T09:00:00+00:00,2022-02-19T09:00:00+00:00,,100.13016921998597,0.9987,0.02
funding-close_long-1000SHIBUSDT-1645264800,funding-close_long-1000SHIBUSDT-1645264800,1000SHIBUSDT,SPOT,CLOSE_LONG,LIMIT,SELL,3538.570417551309,0.02826,FILLED,2022-02-19T10:00:00+00:00,2022-02-19T10:00:00+00:00,,3538.570417551309,0.02826,0.1
