timestamp,cash,unrealized_pnl,realized_pnl,total_fees,equity
2022-02-08T00:00:00+00:00,10000.0,0.0,0.0,0.0,10000.0
2022-02-08T00:00:00+00:00,10000.0,0.0,0.0,0.0,10000.0
2022-02-08T00:00:00+00:00,10000.0,0.0,0.0,0.0,10000.0
2022-02-08T01:00:00+00:00,10000.0,0.0,0.0,0.0,10000.0
2022-02-08T01:00:00+00:00,10000.0,0.0,0.0,0.0,10000.0
2022-02-08T01:00:00+00:00,10000.0,0.0,0.0,0.0,10000.0
2022-02-08T02:00:00+00:00,9999.88,0.0,0.0,0.12000000000000001,9999.88
2022-02-08T02:00:00+00:00,9999.759999999998,0.0,0.0,0.24,9999.759999999998
2022-02-08T02:00:00+00:00,9999.639999999998,0.0,0.0,0.36,9999.639999999998
2022-02-08T03:00:00+00:00,9999.639999999998,0.0,0.0,0.36,9999.639999999998
2022-02-08T03:00:00+00:00,9999.639999999998,0.0,0.0,0.36,9999.639999999998
2022-02-08T03:00:00+00:00,9999.639999999998,0.0,0.0,0.36,9999.639999999998
2022-02-08T04:00:00+00:00,9999.639999999998,0.0,0.0,0.36,9999.639999999998
2022-02-08T04:00:00+00:00,9999.639999999998,0.0,0.0,0.36,9999.639999999998
2022-02-08T04:00:00+00:00,9999.639999999998,0.0,0.0,0.36,9999.639999999998
2022-02-08T05:00:00+00:00,9999.639999999998,0.0,0.0,0.36,9999.639999999998
2022-02-08T05:00:00+00:00,9999.639999999998,0.0,0.0,0.36,9999.639999999998
2022-02-08T05:00:00+00:00,9999.639999999998,0.0,0.0,0.36,9999.639999999998
2022-02-08T06:00:00+00:00,9999.639999999998,0.0,0.0,0.36,9999.639999999998
2022-02-08T06:00:00+00:00,9999.639999999998,0.0,0.0,0.36,9999.639999999998
2022-02-08T06:00:00+00:00,9999.639999999998,0.0,0.0,0.36,9999.639999999998
2022-02-08T07:00:00+00:00,9999.639999999998,0.0,0.0,0.36,9999.639999999998
2022-02-08T07:00:00+00:00,9999.639999999998,0.0,0.0,0.36,9999.639999999998
2022-02-08T07:00:00+00:00,9999.639999999998,0.0,0.0,0.36,9999.639999999998
2022-02-08T08:00:00+00:00,9999.637457778621,0.0,-0.0025422213770412627,0.36,9999.637457778621
2022-02-08T08:00:00+00:00,9999.632321805937,0.0,-0.0076781940604906465,0.36,9999.632321805937
2022-02-08T08:00:00+00:00,9999.636523012965,0.0,-0.0034769870328527144,0.36,9999.636523012965
2022-02-08T09:00:00+00:00,9999.636523012965,0.0,-0.0034769870328527144,0.36,9999.636523012965
2022-02-08T09:00:00+00:00,9999.636523012965,0.0,-0.0034769870328527144,0.36,9999.636523012965
2022-02-08T09:00:00+00:00,9999.636523012965,0.0,-0.0034769870328527144,0.36,9999.636523012965
2022-02-08T10:00:00+00:00,9999.636523012965,0.0,-0.0034769870328527144,0.36,9999.636523012965
2022-02-08T10:00:00+00:00,9999.636523012965,0.0,-0.0034769870328527144,0.36,9999.636523012965
2022-02-08T10:00:00+00:00,9999.636523012965,0.0,-0.0034769870328527144,0.36,9999.636523012965
2022-02-08T11:00:00+00:00,9999.636523012965,0.0,-0.0034769870328527144,0.36,9999.636523012965
2022-02-08T11:00:00+00:00,9999.636523012965,0.0,-0.0034769870328527144,0.36,9999.636523012965
2022-02-08T11:00:00+00:00,9999.636523012965,0.0,-0.0034769870328527144,0.36,9999.636523012965
2022-02-08T12:00:00+00:00,9999.636523012965,0.0,-0.0034769870328527144,0.36,9999.636523012965
2022-02-08T12:00:00+00:00,9999.636523012965,0.0,-0.0034769870328527144,0.36,9999.636523012965
2022-02-08T12:00:00+00:00,9999.636523012965,0.0,-0.0034769870328527144,0.36,9999.636523012965
2022-02-08T13:00:00+00:00,9999.636523012965,0.0,-0.0034769870328527144,0.36,9999.636523012965
2022-02-08T13:00:00+00:00,9999.636523012965,0.0,-0.0034769870328527144,0.36,9999.636523012965
2022-02-08T13:00:00+00:00,9999.636523012965,0.0,-0.0034769870328527144,0.36,9999.636523012965
2022-02-08T14:00:00+00:00,9999.636523012965,0.0,-0.0034769870328527144,0.36,9999.636523012965
