order_id,signal_id,symbol,market_type,action,order_type,side,quantity,limit_price,status,created_at,eligible_at,cancel_after,filled_quantity,fill_price,fee_paid
funding-open_long-1000SHIBUSDT-1644282000,funding-open_long-1000SHIBUSDT-1644282000,1000SHIBUSDT,SPOT,OPEN_LONG,LIMIT,BUY,3018.5034260013886,0.033129,FILLED,2022-02-08T01:00:00+00:00,2022-02-08T01:00:00+00:00,,3018.5034260013886,0.033129,0.1
funding-open_short-1000SHIBUSDT-1644282000,funding-open_short-1000SHIBUSDT-1644282000,1000SHIBUSDT,FUTURE,OPEN_SHORT,LIMIT,SELL,3018.5034260013886,0.033129,FILLED,2022-02-08T01:00:00+00:00,2022-02-08T01:00:00+00:00,,3018.5034260013886,0.033129,0.02
funding-open_long-1000XECUSDT-1644282000,funding-open_long-1000XECUSDT-1644282000,1000XECUSDT,SPOT,OPEN_LONG,LIMIT,BUY,1071.237279057311,0.09335,FILLED,2022-02-08T01:00:00+00:00,2022-02-08T01:00:00+00:00,,1071.237279057311,0.09335,0.09999999999999999
funding-open_short-1000XECUSDT-1644282000,funding-open_short-1000XECUSDT-1644282000,1000XECUSDT,FUTURE,OPEN_SHORT,LIMIT,SELL,1071.237279057311,0.09335,FILLED,2022-02-08T01:00:00+00:00,2022-02-08T01:00:00+00:00,,1071.237279057311,0.09335,0.019999999999999997
funding-open_long-1INCHUSDT-1644282000,funding-open_long-1INCHUSDT-1644282000,1INCHUSDT,SPOT,OPEN_LONG,LIMIT,BUY,51.37162231583273,1.9466,FILLED,2022-02-08T01:00:00+00:00,2022-02-08T02:00:00+00:00,,51.37162231583273,1.9466,0.1
funding-open_short-1INCHUSDT-1644282000,funding-open_short-1INCHUSDT-1644282000,1INCHUSDT,FUTURE,OPEN_SHORT,LIMIT,SELL,51.37162231583273,1.9466,FILLED,2022-02-08T01:00:00+00:00,2022-02-08T02:00:00+00:00,,51.37162231583273,1.9466,0.02
funding-close_long-1INCHUSDT-1744722000,funding-close_long-1INCHUSDT-1744722000,1INCHUSDT,SPOT,CLOSE_LONG,LIMIT,SELL,588.2352941176471,0.17,OPEN,2025-04-15T13:00:00+00:00,2025-04-16T00:00:00+00:00,,0.0,,0.0
funding-close_short-1INCHUSDT-1744722000,funding-close_short-1INCHUSDT-1744722000,1INCHUSDT,FUTURE,CLOSE_SHORT,LIMIT,BUY,588.2352941176471,0.17,OPEN,2025-04-15T13:00:00+00:00,2025-04-16T00:00:00+00:00,,0.0,,0.0
